                   H2O_161                       H2O_181                  H2O_171                    H2O_162                    CO2_626                      CO_26                      CO_36                      CO_28                      CO_27                     CH4_211                       NH3_4111                 OH_61                         OCS_622                   H2CO_126                  HCN_124                      C2H2_1221    	      CH3OH_2161   HD		O                    HF_19             HCL_15                C2H4_38                     C2H6_90 
                     H2O                         H218O                    H217O		             HDO         		CO2	                     12CO                       13CO                       C18O                       C17O                      CH4                           NH3                      OH                            OCS                       H2CO                      HCN                          C2H2       	      CH3OH	   HD		O                    HF                HCL                   C2H4                        C2H6 
                     18                          20                       19                         19                         48                           28                         29                         30                         29                        16                            17                       17                            60                        30                        27                           26       	              32	   3		16                   15                36                    28                          30
 128.0           50.446008                  49.865477                 298.001053                 242.188823       	    114.455710  		  46.450453		     97.149381  		48.761158		  285.888123		    167.948613  		  489.081462		     34.621846  		 442.187630		   804.724603		      363.959112		  152.529813	  	21731.887575	 2.30692      5.5901197  	  18.721387	    70.960747	 	2980.40597000	    	   15190.74500000
 129.0           51.025486                  50.449830                 301.493638                 245.061475       	    115.357585  		  46.811087		     97.903697  		49.139832		  288.108326		    169.903285  		  494.765124		     34.867949  		 445.767022		   814.156857		      366.807118		  153.741165	  	21987.681953	 2.32368      5.5987485  	  18.856300	    71.493733	 	3015.41867000	    	   15383.30957000
 130.0           51.607200                  51.036439                 304.999689                 247.945279       	    116.259967  		  47.171727		     98.658032  		49.518511		  290.328552		    171.865564  		  500.470976		     35.114663  		 449.352233		   823.626016		      369.656253		  154.953914	  	22244.488211	 2.34056      5.6073703  	  18.991224	    72.026737	 	3050.59955000	    	   15577.05193000
 131.0           52.191141                  51.625294                 308.519151                 250.840190       	    117.162871  		  47.532371		     99.412385  		49.897196		  292.548800		    173.835419  		  506.198930		     35.361975  		 452.943390		   833.131927		      372.506549		  156.168100	  	22502.302536	 2.35757      5.6159841  	  19.126159	    72.559757	 	3085.88724000	    	   15771.97658000
 132.0           52.777301                  52.216386                 312.051969                 253.746163       	    118.066311  		  47.893020		    100.166757  		50.275887		  294.769070		    175.812820  		  511.948899		     35.609876  		 456.540619		   842.674437		      375.358039		  157.383762	  	22761.354455	 2.37470      5.6245893  	  19.261104	    73.092794	 	3121.34308000	    	   15968.24184000
 133.0           53.365670                  52.809707                 315.598089                 256.663153       	    118.970303  		  48.253675		    100.921151  		50.654585		  296.989359		    177.797736  		  517.720795		     35.858355  		 460.144045		   852.253391		      378.210758		  158.600939	  	23021.410033	 2.39195      5.6331849  	  19.396060	    73.625847	 	3156.90335000	    	   16165.70206000
 134.0           53.956239                  53.405247                 319.157454                 259.591113       	    119.874861  		  48.614334		    101.675565  		51.033289		  299.209667		    179.790137  		  523.514530		     36.107399  		 463.753795		   861.868637		      381.064738		  159.819670	  	23282.236704	 2.40933      5.6417703  	  19.531025	    74.158916	 	3192.63128000	    	   16364.36194000
 135.0           54.549000                  54.002998                 322.730011                 262.529999       	    120.779999  		  48.974998		    102.430000  		51.411999		  301.429993		    181.789993  		  529.330017		     36.356998  		 467.369995		   871.520020		      383.920013		  161.039993	  	23544.530651	 2.42683      5.6503446  	  19.666000	    74.692001	 	3228.49471000	    	   16564.38526000
 136.0           55.143717                  54.602738                 326.313973                 265.478500       	    121.685473  		  49.335654		    103.184558  		51.790722		  303.650068		    183.796568  		  535.163774		     36.606669  		 470.992105		   881.202526		      386.775152		  162.261017	  	23807.584208	 2.44447      5.6589071  	  19.800972	    75.225129	 	3264.46076000	    	   16765.46054000
 137.0           55.740609                  55.204672                 329.911033                 268.437849       	    122.591559  		  49.696315		    103.939138  		52.169452		  305.870160		    185.810543  		  541.019140		     36.856878  		 474.620924		   890.920909		      389.631666		  163.483721	  	24071.636020	 2.46223      5.6674572  	  19.935953	    75.758273	 	3300.59386000	    	   16967.91250000
 138.0           56.339670                  55.808795                 333.521152                 271.408011       	    123.498274  		  50.056981		    104.693741  		52.548188		  308.090271		    187.831894  		  546.896060		     37.107617  		 478.256583		   900.675062		      392.489603		  164.708153	  	24336.921562	 2.48012      5.6759942  	  20.070943	    76.291432	 	3336.86126000	    	   17171.75141000
